Current_Date,Location,Next_Date,HCHO_reading,LATITUDE,LONGITUDE,ELEVATION,Sea Proximity (approximate-km),Sea Proximity Categorised,Climate Zone,PRCP,TAVG,TMAX,TMIN,Area(km^2),Population,Population_density,total,new,Lockdown,carbonmonoxide_average,nitrogendioxide_average,ozone_average
2019-01-01,"Bibile, Monaragala",2019-01-02,1.919914652467399e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.22,21.79,26.15,18.6,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0355654954910278,6.801962626923341e-06,0.1130064850052197
2019-01-02,"Bibile, Monaragala",2019-01-03,1.919914652467399e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.03,21.09,25.8,17.52,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0326477289199829,1.1344185622874647e-05,0.1130064850052197
2019-01-03,"Bibile, Monaragala",2019-01-04,2.811447935930284e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.03,21.03,26.32,17.05,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0328554064035415,1.014795998344198e-05,0.1105887119968732
2019-01-04,"Bibile, Monaragala",2019-01-05,3.747998184385943e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.02,20.88,26.46,16.77,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0334731675684452,9.120284630625974e-06,0.113011023029685
2019-01-05,"Bibile, Monaragala",2019-01-06,-1.7982608793453114e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.14,22.12,27.42,17.82,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0341001227498054,9.223555935022889e-06,0.112202073343926
2019-01-06,"Bibile, Monaragala",2019-01-07,0.0001457836896179,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.01,21.57,26.4,18.19,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0317886881530284,9.330588909506332e-06,0.1117998675132791
2019-01-07,"Bibile, Monaragala",2019-01-08,2.8285908025465342e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.06,22.02,26.96,17.6,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0334187187254428,1.2713774594885764e-05,0.1117998675132791
2019-01-08,"Bibile, Monaragala",2019-01-09,8.703479882168266e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.03,22.73,27.35,19.58,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0331951742991805,6.637254244878932e-06,0.1123246625065803
2019-01-09,"Bibile, Monaragala",2019-01-10,0.000142085016705,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.06,22.55,27.23,18.7,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0376463234424591,8.527208592568059e-06,0.1118548214435577
2019-01-10,"Bibile, Monaragala",2019-01-11,0.000142085016705,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.13,22.87,27.55,19.04,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0358556061983108,8.882101610652171e-06,0.112089741975069
2019-01-11,"Bibile, Monaragala",2019-01-12,2.014587947072581e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,6.56,22.94,27.22,19.76,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0352303199470043,9.107593541557437e-06,0.112089741975069
2019-01-12,"Bibile, Monaragala",2019-01-13,0.000158278766321,6.8719,81.3489,151.0,52,Inland,Dry Zone,7.64,23.27,27.14,21.08,5638.7,496000,87.96353769485874,0.0,0.0,0,0.034596711397171,1.1406770681787748e-05,0.1118119433522224
2019-01-13,"Bibile, Monaragala",2019-01-14,3.961305713259166e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,14.84,23.07,25.66,21.0,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0358322402462363,5.50373260921333e-06,0.11183338239789
2019-01-14,"Bibile, Monaragala",2019-01-15,9.894591172679584e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,10.61,23.23,26.44,21.05,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0373307913541793,9.72989346337272e-06,0.1104448139667511
2019-01-15,"Bibile, Monaragala",2019-01-16,9.952823849642218e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,5.52,23.3,27.18,20.4,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0364306680858135,1.2517315553850494e-05,0.1110997597376505
2019-01-16,"Bibile, Monaragala",2019-01-17,7.484570960514249e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,2.72,23.05,27.01,20.5,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0389284938573837,7.0877413236303255e-06,0.1111188390188747
2019-01-17,"Bibile, Monaragala",2019-01-18,7.736112226328797e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.0,22.08,26.69,18.23,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0351169556379318,5.78868866796256e-06,0.1107722868522008
2019-01-18,"Bibile, Monaragala",2019-01-19,7.610341593421524e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.0,20.7,26.19,16.65,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0364646613597869,9.351248991151806e-06,0.1130961279074351
2019-01-19,"Bibile, Monaragala",2019-01-20,3.9881410104076654e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.0,20.8,26.77,15.73,5638.7,496000,87.96353769485874,0.0,0.0,0,0.036735194735229,7.204489520518109e-06,0.1102298746506373
2019-01-20,"Bibile, Monaragala",2019-01-21,0.0001891620203853,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.0,22.0,26.93,18.27,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0364546415706475,1.0053368896478789e-05,0.1094549298286438
2019-01-21,"Bibile, Monaragala",2019-01-22,0.0001159969926423,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.14,22.57,27.54,18.69,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0392138697206974,8.604679351265077e-06,0.1109269774622387
2019-01-22,"Bibile, Monaragala",2019-01-23,0.0001413523623709,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.6,23.07,28.15,19.14,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0373777242170439,9.559865247865671e-06,0.1109269774622387
2019-01-23,"Bibile, Monaragala",2019-01-24,7.165379525100222e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.23,23.23,28.27,19.77,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0395442023873329,1.508393052063184e-05,0.1123411040753126
2019-01-24,"Bibile, Monaragala",2019-01-25,0.0001065030788109,6.8719,81.3489,151.0,52,Inland,Dry Zone,0.18,23.08,27.59,19.08,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0366072443624337,1.1996768307653838e-05,0.1120803412050008
2019-01-25,"Bibile, Monaragala",2019-01-26,-2.8553898678860067e-05,6.8719,81.3489,151.0,52,Inland,Dry Zone,1.44,23.76,28.05,20.65,5638.7,496000,87.96353769485874,0.0,0.0,0,0.0391891151666641,1.32525874505518e-05,0.1118639856576919
