Current_Date,Location,Next_Date,HCHO_reading
2019-01-01,Kandy Proper,2019-01-02,0.0001760713459877
2019-01-02,Kandy Proper,2019-01-03,9.220391253917748e-05
2019-01-03,Kandy Proper,2019-01-04,0.00013413762926343874
2019-01-04,Kandy Proper,2019-01-05,0.0001908681983853
2019-01-05,Kandy Proper,2019-01-06,0.0001219517840206
2019-01-06,Kandy Proper,2019-01-07,-6.514086129388805e-05
2019-01-07,Kandy Proper,2019-01-08,0.0001632382063926
2019-01-08,Kandy Proper,2019-01-09,-6.735205533914268e-05
2019-01-09,Kandy Proper,2019-01-10,0.0001279693658243
2019-01-10,Kandy Proper,2019-01-11,4.546048424126012e-05
2019-01-11,Kandy Proper,2019-01-12,3.600074175192105e-05
2019-01-12,Kandy Proper,2019-01-13,0.000128662969801
2019-01-13,Kandy Proper,2019-01-14,0.00021337716789083334
2019-01-14,Kandy Proper,2019-01-15,8.045511559679482e-05
2019-01-15,Kandy Proper,2019-01-16,9.63639634671553e-05
2019-01-16,Kandy Proper,2019-01-17,4.5502740309912506e-05
2019-01-17,Kandy Proper,2019-01-18,0.0001200971278484
2019-01-18,Kandy Proper,2019-01-19,8.279993407915626e-05
2019-01-19,Kandy Proper,2019-01-20,0.0002825263761529
2019-01-20,Kandy Proper,2019-01-21,7.150631692646835e-05
2019-01-21,Kandy Proper,2019-01-22,0.0002833741508232
2019-01-22,Kandy Proper,2019-01-23,0.0002659407549829
2019-01-23,Kandy Proper,2019-01-24,5.8649506506635245e-05
2019-01-24,Kandy Proper,2019-01-25,-3.940558338151006e-06
2019-01-25,Kandy Proper,2019-01-26,0.0001092931769982
2019-01-26,Kandy Proper,2019-01-27,7.03689579655349e-05
2019-01-27,Kandy Proper,2019-01-28,0.0001647056354631
2019-01-28,Kandy Proper,2019-01-29,0.0001130180465294
2019-01-29,Kandy Proper,2019-01-30,0.0001141272676955
2019-01-30,Kandy Proper,2019-01-31,-3.000156427858255e-05
2019-01-31,Kandy Proper,2019-02-01,1.5133123262338617e-05
2019-02-01,Kandy Proper,2019-02-02,9.510527997488848e-05
