Current_Date,Location,Next_Date,HCHO_reading
2019-01-01,"Deniyaya, Matara",2019-01-02,5.803530712000793e-06
2019-01-02,"Deniyaya, Matara",2019-01-03,5.803530712000793e-06
2019-01-03,"Deniyaya, Matara",2019-01-04,0.0002362357772653
2019-01-04,"Deniyaya, Matara",2019-01-05,6.437245753953118e-05
2019-01-05,"Deniyaya, Matara",2019-01-06,5.349707092885017e-05
2019-01-06,"Deniyaya, Matara",2019-01-07,0.0001315594859189
2019-01-07,"Deniyaya, Matara",2019-01-08,6.269859896976347e-05
2019-01-08,"Deniyaya, Matara",2019-01-09,2.298263979970634e-05
2019-01-09,"Deniyaya, Matara",2019-01-10,7.241357489612327e-05
2019-01-10,"Deniyaya, Matara",2019-01-11,7.190247186715247e-05
2019-01-11,"Deniyaya, Matara",2019-01-12,0.0001542091441034
2019-01-12,"Deniyaya, Matara",2019-01-13,0.0001406986305217
2019-01-13,"Deniyaya, Matara",2019-01-14,0.00012227008216408416
2019-01-14,"Deniyaya, Matara",2019-01-15,0.00014745388731254999
2019-01-15,"Deniyaya, Matara",2019-01-16,7.187311712186784e-05
2019-01-16,"Deniyaya, Matara",2019-01-17,3.5053075407631695e-05
2019-01-17,"Deniyaya, Matara",2019-01-18,0.0001694853136055
2019-01-18,"Deniyaya, Matara",2019-01-19,0.0003082256948783
2019-01-19,"Deniyaya, Matara",2019-01-20,0.00023885550424190003
2019-01-20,"Deniyaya, Matara",2019-01-21,6.0375266285424514e-05
2019-01-21,"Deniyaya, Matara",2019-01-22,-7.58294658224229e-05
2019-01-22,"Deniyaya, Matara",2019-01-23,3.363791867442001e-05
2019-01-23,"Deniyaya, Matara",2019-01-24,0.0001753175803488
2019-01-24,"Deniyaya, Matara",2019-01-25,5.2793313875356256e-05
2019-01-25,"Deniyaya, Matara",2019-01-26,8.724960429952542e-05
2019-01-26,"Deniyaya, Matara",2019-01-27,0.00011405544711207812
2019-01-27,"Deniyaya, Matara",2019-01-28,5.2793313875356256e-05
2019-01-28,"Deniyaya, Matara",2019-01-29,0.0001586517467092
2019-01-29,"Deniyaya, Matara",2019-01-30,0.0001037720817875
2019-01-30,"Deniyaya, Matara",2019-01-31,0.00013121191424835
2019-01-31,"Deniyaya, Matara",2019-02-01,4.768084267461017e-05
2019-02-01,"Deniyaya, Matara",2019-02-02,5.617168790830808e-05
2019-02-02,"Deniyaya, Matara",2019-02-03,-1.3768205917585874e-06
2019-02-03,"Deniyaya, Matara",2019-02-04,0.0001028843263981
2019-02-04,"Deniyaya, Matara",2019-02-05,0.000103548176412
2019-02-05,"Deniyaya, Matara",2019-02-06,8.412867361170815e-05
2019-02-06,"Deniyaya, Matara",2019-02-07,-2.009600759496182e-06
2019-02-07,"Deniyaya, Matara",2019-02-08,0.0001495798303155
2019-02-08,"Deniyaya, Matara",2019-02-09,0.0002421511611906
2019-02-09,"Deniyaya, Matara",2019-02-10,0.00012990713024886794
2019-02-10,"Deniyaya, Matara",2019-02-11,0.00019586549575305003
2019-02-11,"Deniyaya, Matara",2019-02-12,9.253276543587998e-05
2019-02-12,"Deniyaya, Matara",2019-02-13,0.0001574102690481
2019-02-13,"Deniyaya, Matara",2019-02-14,6.523994226828871e-05
2019-02-14,"Deniyaya, Matara",2019-02-15,-0.0001202388983189
2019-02-15,"Deniyaya, Matara",2019-02-16,3.413710433249623e-05
2019-02-16,"Deniyaya, Matara",2019-02-17,8.038732615390482e-05
2019-02-17,"Deniyaya, Matara",2019-02-18,5.726221524320055e-05
2019-02-18,"Deniyaya, Matara",2019-02-19,0.0001293821304845
2019-02-19,"Deniyaya, Matara",2019-02-20,0.0001168615135118
2019-02-20,"Deniyaya, Matara",2019-02-21,8.337509543093406e-05
2019-02-21,"Deniyaya, Matara",2019-02-22,2.514510513135289e-05
2019-02-22,"Deniyaya, Matara",2019-02-23,0.0001425070075459
2019-02-23,"Deniyaya, Matara",2019-02-24,0.0001366694245436
2019-02-24,"Deniyaya, Matara",2019-02-25,0.0001627625602433
2019-02-25,"Deniyaya, Matara",2019-02-26,0.0001543677869547
2019-02-26,"Deniyaya, Matara",2019-02-27,0.00015126659058053334
2019-02-27,"Deniyaya, Matara",2019-02-28,0.000158565173599
2019-02-28,"Deniyaya, Matara",2019-03-01,0.0001663931743162
2019-03-01,"Deniyaya, Matara",2019-03-02,0.0001663931743162
2019-03-02,"Deniyaya, Matara",2019-03-03,-2.715724766397789e-05
2019-03-03,"Deniyaya, Matara",2019-03-04,6.961796332611107e-05
2019-03-04,"Deniyaya, Matara",2019-03-05,0.00019255437765196108
2019-03-05,"Deniyaya, Matara",2019-03-06,0.00019255437765196108
2019-03-06,"Deniyaya, Matara",2019-03-07,9.971738595225878e-05
2019-03-07,"Deniyaya, Matara",2019-03-08,0.0001356645928779
2019-03-08,"Deniyaya, Matara",2019-03-09,9.87355639618488e-05
2019-03-09,"Deniyaya, Matara",2019-03-10,0.00011137251426400253
2019-03-10,"Deniyaya, Matara",2019-03-11,5.646698909773664e-05
2019-03-11,"Deniyaya, Matara",2019-03-12,0.0001590144307147
2019-03-12,"Deniyaya, Matara",2019-03-13,0.0001171489486397
2019-03-13,"Deniyaya, Matara",2019-03-14,0.00011087678948404555
2019-03-14,"Deniyaya, Matara",2019-03-15,0.0002678319367111
2019-03-15,"Deniyaya, Matara",2019-03-16,0.0001973485736028
2019-03-16,"Deniyaya, Matara",2019-03-17,5.13548232774661e-05
2019-03-17,"Deniyaya, Matara",2019-03-18,0.00017217844453045538
2019-03-18,"Deniyaya, Matara",2019-03-19,4.457512841327116e-05
2019-03-19,"Deniyaya, Matara",2019-03-20,0.0002551880668476
2019-03-20,"Deniyaya, Matara",2019-03-21,8.954724124801195e-05
2019-03-21,"Deniyaya, Matara",2019-03-22,0.00012977014550296102
2019-03-22,"Deniyaya, Matara",2019-03-23,0.0001081070493299
2019-03-23,"Deniyaya, Matara",2019-03-24,0.0001883458499592
2019-03-24,"Deniyaya, Matara",2019-03-25,0.000171727504349
2019-03-25,"Deniyaya, Matara",2019-03-26,0.0003326517375935
2019-03-26,"Deniyaya, Matara",2019-03-27,0.0001650504145461
2019-03-27,"Deniyaya, Matara",2019-03-28,0.0001789494366016
2019-03-28,"Deniyaya, Matara",2019-03-29,0.0001818030703527
2019-03-29,"Deniyaya, Matara",2019-03-30,4.044847087752865e-05
2019-03-30,"Deniyaya, Matara",2019-03-31,-3.0314153493748305e-05
2019-03-31,"Deniyaya, Matara",2019-04-01,6.397912924549345e-05
2019-04-01,"Deniyaya, Matara",2019-04-02,0.0001046297780589
2019-04-02,"Deniyaya, Matara",2019-04-03,8.128573946871756e-05
2019-04-03,"Deniyaya, Matara",2019-04-04,6.149668792726311e-05
2019-04-04,"Deniyaya, Matara",2019-04-05,9.296972991768896e-05
2019-04-05,"Deniyaya, Matara",2019-04-06,7.858405243788988e-05
2019-04-06,"Deniyaya, Matara",2019-04-07,0.0001659114059293
2019-04-07,"Deniyaya, Matara",2019-04-08,0.00012944056792349448
2019-04-08,"Deniyaya, Matara",2019-04-09,0.000143890350864
2019-04-09,"Deniyaya, Matara",2019-04-10,0.00015490087839665
2019-04-10,"Deniyaya, Matara",2019-04-11,6.20313630194549e-05
2019-04-11,"Deniyaya, Matara",2019-04-12,8.426213025813922e-05
2019-04-12,"Deniyaya, Matara",2019-04-13,0.0001655760267849
2019-04-13,"Deniyaya, Matara",2019-04-14,0.0002243445980376
2019-04-14,"Deniyaya, Matara",2019-04-15,0.00015806091836021306
2019-04-15,"Deniyaya, Matara",2019-04-16,0.00019496031241124996
2019-04-16,"Deniyaya, Matara",2019-04-17,0.0002243445980376
2019-04-17,"Deniyaya, Matara",2019-04-18,0.0001924552762696877
2019-04-18,"Deniyaya, Matara",2019-04-19,0.0001076937462352
2019-04-19,"Deniyaya, Matara",2019-04-20,0.0001076937462352
2019-04-20,"Deniyaya, Matara",2019-04-21,0.0001076937462352
2019-04-21,"Deniyaya, Matara",2019-04-22,0.0001076937462352
2019-04-22,"Deniyaya, Matara",2019-04-23,0.0001167011796496
2019-04-23,"Deniyaya, Matara",2019-04-24,5.12579766773392e-05
2019-04-24,"Deniyaya, Matara",2019-04-25,0.0001783669821192
2019-04-25,"Deniyaya, Matara",2019-04-26,0.00011544204614871306
2019-04-26,"Deniyaya, Matara",2019-04-27,0.0001148124793982696
2019-04-27,"Deniyaya, Matara",2019-04-28,0.0001783669821192
2019-04-28,"Deniyaya, Matara",2019-04-29,0.0001871501881396
2019-04-29,"Deniyaya, Matara",2019-04-30,0.0001871501881396
2019-04-30,"Deniyaya, Matara",2019-05-01,0.0001871501881396
2019-05-01,"Deniyaya, Matara",2019-05-02,0.0001513876780742
2019-05-02,"Deniyaya, Matara",2019-05-03,0.0001513876780742
2019-05-03,"Deniyaya, Matara",2019-05-04,0.0001513876780742
2019-05-04,"Deniyaya, Matara",2019-05-05,5.434144155589335e-05
2019-05-05,"Deniyaya, Matara",2019-05-06,7.521904743490836e-05
2019-05-06,"Deniyaya, Matara",2019-05-07,6.477919130672735e-05
2019-05-07,"Deniyaya, Matara",2019-05-08,8.903688521043591e-05
2019-05-08,"Deniyaya, Matara",2019-05-09,0.0001266048084834
2019-05-09,"Deniyaya, Matara",2019-05-10,0.0001186255669854
2019-05-10,"Deniyaya, Matara",2019-05-11,8.904187787431491e-05
