Current_Date,Location,Next_Date,HCHO_reading
2019-01-01,Nuwara Eliya Proper,2019-01-02,4.401923550188526e-05
2019-01-02,Nuwara Eliya Proper,2019-01-03,6.177314880200821e-05
2019-01-03,Nuwara Eliya Proper,2019-01-04,0.0001908293886956
2019-01-04,Nuwara Eliya Proper,2019-01-05,5.0976259171277377e-05
2019-01-05,Nuwara Eliya Proper,2019-01-06,6.456645496655256e-05
2019-01-06,Nuwara Eliya Proper,2019-01-07,8.982348709518115e-05
2019-01-07,Nuwara Eliya Proper,2019-01-08,4.097797651418246e-05
2019-01-08,Nuwara Eliya Proper,2019-01-09,6.158604443679839e-05
2019-01-09,Nuwara Eliya Proper,2019-01-10,6.51226395253054e-05
2019-01-10,Nuwara Eliya Proper,2019-01-11,6.540073180468181e-05
2019-01-11,Nuwara Eliya Proper,2019-01-12,3.914670787137749e-05
2019-01-12,Nuwara Eliya Proper,2019-01-13,3.914670787137749e-05
2019-01-13,Nuwara Eliya Proper,2019-01-14,3.914670787137749e-05
2019-01-14,Nuwara Eliya Proper,2019-01-15,4.211950727039948e-05
2019-01-15,Nuwara Eliya Proper,2019-01-16,4.27055256923008e-05
2019-01-16,Nuwara Eliya Proper,2019-01-17,4.241251648135014e-05
2019-01-17,Nuwara Eliya Proper,2019-01-18,0.0001077155480912
2019-01-18,Nuwara Eliya Proper,2019-01-19,2.1021983917616697e-05
2019-01-19,Nuwara Eliya Proper,2019-01-20,3.5177822608346057e-05
2019-01-20,Nuwara Eliya Proper,2019-01-21,8.95718212363389e-06
2019-01-21,Nuwara Eliya Proper,2019-01-22,0.0001169623557084
2019-01-22,Nuwara Eliya Proper,2019-01-23,0.0001423180803672
2019-01-23,Nuwara Eliya Proper,2019-01-24,5.387086215710865e-05
2019-01-24,Nuwara Eliya Proper,2019-01-25,5.8914353326833725e-05
2019-01-25,Nuwara Eliya Proper,2019-01-26,9.30164128898856e-05
2019-01-26,Nuwara Eliya Proper,2019-01-27,8.50344319503808e-05
2019-01-27,Nuwara Eliya Proper,2019-01-28,8.902542242013322e-05
2019-01-28,Nuwara Eliya Proper,2019-01-29,0.0001509017772374
2019-01-29,Nuwara Eliya Proper,2019-01-30,0.0001841569476548
2019-01-30,Nuwara Eliya Proper,2019-01-31,3.054402387193301e-05
2019-01-31,Nuwara Eliya Proper,2019-02-01,3.6008610393953005e-05
2019-02-01,Nuwara Eliya Proper,2019-02-02,7.778077086008773e-05
2019-02-02,Nuwara Eliya Proper,2019-02-03,8.212258819519344e-05
2019-02-03,Nuwara Eliya Proper,2019-02-04,4.8111135041991255e-05
2019-02-04,Nuwara Eliya Proper,2019-02-05,5.6894690627020376e-05
2019-02-05,Nuwara Eliya Proper,2019-02-06,7.778077086008773e-05
2019-02-06,Nuwara Eliya Proper,2019-02-07,6.622729618107319e-05
2019-02-07,Nuwara Eliya Proper,2019-02-08,8.962996522611401e-05
2019-02-08,Nuwara Eliya Proper,2019-02-09,6.902842232093944e-05
2019-02-09,Nuwara Eliya Proper,2019-02-10,7.932919377352672e-05
2019-02-10,Nuwara Eliya Proper,2019-02-11,5.539429507152505e-05
2019-02-11,Nuwara Eliya Proper,2019-02-12,7.135089420619283e-05
2019-02-12,Nuwara Eliya Proper,2019-02-13,6.221135869623225e-05
2019-02-13,Nuwara Eliya Proper,2019-02-14,7.972334424266592e-05
2019-02-14,Nuwara Eliya Proper,2019-02-15,6.755881965709549e-05
2019-02-15,Nuwara Eliya Proper,2019-02-16,7.972334424266592e-05
2019-02-16,Nuwara Eliya Proper,2019-02-17,7.972334424266592e-05
2019-02-17,Nuwara Eliya Proper,2019-02-18,7.972334424266592e-05
2019-02-18,Nuwara Eliya Proper,2019-02-19,0.0001733092446862
2019-02-19,Nuwara Eliya Proper,2019-02-20,0.0002395688257623
2019-02-20,Nuwara Eliya Proper,2019-02-21,0.0001075724904002
2019-02-21,Nuwara Eliya Proper,2019-02-22,-7.767660943011708e-05
2019-02-22,Nuwara Eliya Proper,2019-02-23,-2.5037994831152824e-05
2019-02-23,Nuwara Eliya Proper,2019-02-24,0.0001895221819805
2019-02-24,Nuwara Eliya Proper,2019-02-25,0.0002737589225376
2019-02-25,Nuwara Eliya Proper,2019-02-26,9.014162506420752e-05
2019-02-26,Nuwara Eliya Proper,2019-02-27,0.00014608103656231573
2019-02-27,Nuwara Eliya Proper,2019-02-28,0.00023164055225904999
2019-02-28,Nuwara Eliya Proper,2019-03-01,0.0002737589225376
2019-03-01,Nuwara Eliya Proper,2019-03-02,9.12014535583428e-05
