NAME,LATITUDE,LONGITUDE,ELEVATION,Sea Proximity (approximate-km),Sea Proximity Categorised,Climate Zone,DATE,PRCP,TAVG,TMAX,TMIN
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-01-01,0.22,21.79,26.15,18.6
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-01-02,0.03,21.09,25.8,17.52
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-01-03,0.03,21.03,26.32,17.05
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-01-04,0.02,20.88,26.46,16.77
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-01-05,0.14,22.12,27.42,17.82
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-01-06,0.01,21.57,26.4,18.19
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-01-07,0.06,22.02,26.96,17.6
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-01-08,0.03,22.73,27.35,19.58
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-01-09,0.06,22.55,27.23,18.7
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-01-10,0.13,22.87,27.55,19.04
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-01-11,6.56,22.94,27.22,19.76
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-01-12,7.64,23.27,27.14,21.08
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-01-13,14.84,23.07,25.66,21.0
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-01-14,10.61,23.23,26.44,21.05
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-01-15,5.52,23.3,27.18,20.4
