-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 01/01/2024 
Location: Latitude  9.6639   Longitude 80.0161 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 6.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,25.09,20.05,22.57,25.87,2.5,26.42,23.92,14.47,73.62,0.0
2019,1,2,25.07,19.47,22.26,25.8,2.91,26.55,23.65,13.98,71.19,0.0
2019,1,3,25.35,19.21,22.28,25.76,2.73,26.84,24.11,13.73,68.88,0.0
2019,1,4,25.31,19.23,22.27,25.64,2.89,26.84,23.95,13.79,69.12,0.0
2019,1,5,25.55,20.72,23.14,25.86,2.54,26.95,24.41,15.14,74.62,0.03
2019,1,6,25.51,20.0,22.75,25.8,3.02,27.13,24.11,14.47,71.62,0.0
2019,1,7,25.77,21.3,23.54,26.07,2.56,27.08,24.53,15.75,76.31,0.0
2019,1,8,25.62,21.42,23.51,26.08,3.2,27.3,24.1,15.81,77.69,0.0
2019,1,9,25.15,20.65,22.9,25.89,3.32,26.82,23.5,15.08,76.19,0.0
2019,1,10,25.16,20.7,22.94,25.86,2.88,26.64,23.76,15.14,76.31,0.0
2019,1,11,25.44,20.75,23.09,26.04,2.74,26.9,24.15,15.2,75.31,0.03
2019,1,12,25.9,21.61,23.75,26.37,2.45,27.33,24.87,15.99,77.31,0.25
2019,1,13,26.01,22.61,24.3,26.4,2.26,27.26,25.01,17.03,81.56,0.46
2019,1,14,26.18,22.28,24.23,26.46,2.21,27.46,25.25,16.66,79.19,0.05
2019,1,15,25.9,21.4,23.65,26.12,2.33,27.22,24.89,15.81,76.31,0.02
2019,1,16,25.81,21.11,23.46,26.11,2.54,27.24,24.7,15.5,75.38,0.01
2019,1,17,25.41,19.53,22.47,25.77,2.92,26.98,24.06,14.1,70.06,0.0
2019,1,18,25.15,18.72,21.93,25.53,2.89,26.85,23.96,13.37,67.62,0.05
2019,1,19,24.88,18.8,21.84,25.75,2.96,26.51,23.56,13.43,69.12,0.04
2019,1,20,25.11,19.32,22.21,25.72,3.11,26.88,23.76,13.85,70.38,0.04
2019,1,21,25.12,19.76,22.44,25.76,3.46,27.05,23.58,14.22,72.31,0.01
2019,1,22,25.33,21.28,23.31,26.19,3.44,27.17,23.73,15.69,78.38,0.03
2019,1,23,25.77,21.9,23.83,26.51,3.17,27.5,24.33,16.3,79.31,0.01
2019,1,24,26.22,22.19,24.2,26.8,3.47,28.15,24.69,16.6,78.75,0.0
2019,1,25,26.48,23.16,24.83,27.25,3.5,28.25,24.75,17.58,82.12,0.03
2019,1,26,26.89,22.76,24.82,27.46,3.22,28.78,25.56,17.21,78.31,0.04
2019,1,27,26.63,21.89,24.26,27.34,3.53,28.55,25.03,16.3,75.44,0.01
2019,1,28,26.26,21.14,23.7,27.25,3.38,28.18,24.8,15.56,73.69,0.0
2019,1,29,26.14,21.73,23.93,27.11,2.91,27.9,24.98,16.11,76.88,0.01
2019,1,30,26.19,21.68,23.94,27.11,2.6,27.61,25.01,16.05,76.31,0.02
2019,1,31,26.26,21.25,23.76,27.07,3.14,27.94,24.8,15.62,74.06,0.03
2019,2,1,26.26,21.72,23.99,27.25,2.86,27.85,24.99,16.11,76.12,0.11
2019,2,2,26.39,21.76,24.08,27.26,2.79,28.05,25.26,16.17,75.88,0.05
2019,2,3,26.52,22.52,24.52,27.55,2.98,28.16,25.17,16.91,78.81,0.49
2019,2,4,26.83,23.91,25.37,27.32,2.2,28.08,25.88,18.37,84.06,18.69
2019,2,5,26.85,23.17,25.01,27.3,2.46,28.33,25.87,17.58,80.31,6.06
2019,2,6,26.62,21.87,24.24,27.3,2.82,28.35,25.53,16.3,75.38,1.52
2019,2,7,26.73,22.08,24.4,27.62,3.44,28.55,25.12,16.48,75.81,0.08
2019,2,8,27.48,23.26,25.37,28.28,3.68,29.44,25.76,17.7,78.0,0.03
2019,2,9,27.66,23.58,25.62,28.48,3.55,29.52,25.98,18.07,78.69,2.44
2019,2,10,27.35,23.2,25.28,28.35,2.93,29.07,26.14,17.64,78.31,0.55
2019,2,11,27.51,22.83,25.18,28.36,2.97,29.24,26.27,17.27,75.81,0.01
2019,2,12,27.44,22.57,25.01,28.23,2.59,28.97,26.39,16.97,74.88,0.03
2019,2,13,27.29,22.01,24.65,28.07,2.56,28.79,26.23,16.36,73.06,0.02
2019,2,14,27.48,23.37,25.43,28.23,2.73,29.05,26.32,17.82,78.38,0.19
2019,2,15,27.6,23.08,25.34,28.52,3.07,29.32,26.25,17.52,76.56,0.66
2019,2,16,27.87,23.44,25.65,28.97,3.81,29.96,26.15,17.88,77.12,0.1
2019,2,17,28.01,23.32,25.67,29.45,4.11,30.05,25.94,17.82,76.19,0.2
2019,2,18,28.41,23.83,26.12,29.5,3.73,30.3,26.57,18.37,76.62,1.61
2019,2,19,28.17,23.77,25.98,29.39,4.12,30.54,26.42,18.31,77.62,1.19
2019,2,20,27.8,22.62,25.21,29.05,3.66,29.79,26.12,17.03,73.81,0.01
2019,2,21,27.83,21.85,24.84,29.01,3.13,29.6,26.47,16.24,70.19,0.02
2019,2,22,27.34,21.12,24.23,28.67,3.8,29.34,25.55,15.56,69.12,0.01
2019,2,23,26.97,20.95,23.96,28.59,3.96,29.32,25.35,15.38,70.06,0.0
2019,2,24,26.9,21.27,24.08,28.6,4.51,29.47,24.96,15.75,71.88,0.0
2019,2,25,27.03,21.83,24.43,28.96,5.26,29.76,24.51,16.3,73.81,0.0
2019,2,26,27.88,23.45,25.66,29.79,4.55,30.24,25.69,18.01,77.44,0.02
2019,2,27,28.37,23.44,25.9,30.05,4.1,30.4,26.3,18.01,75.12,0.04
2019,2,28,28.7,23.42,26.06,30.19,3.63,30.57,26.94,17.94,73.56,0.13
2019,3,1,28.35,23.62,25.98,29.95,4.08,30.77,26.69,18.19,76.06,0.02
2019,3,2,28.11,22.79,25.45,29.56,3.73,30.26,26.54,17.27,73.25,0.01
2019,3,3,27.96,22.71,25.33,29.7,3.69,30.15,26.46,17.21,73.62,0.0
2019,3,4,27.87,22.09,24.98,29.83,4.68,30.32,25.64,16.6,71.62,0.0
2019,3,5,28.71,22.93,25.82,30.3,5.07,31.06,25.99,17.46,71.69,0.0
2019,3,6,29.37,24.12,26.74,30.73,4.5,31.62,27.12,18.74,73.94,0.02
2019,3,7,29.7,24.09,26.9,30.94,4.99,32.51,27.52,18.8,72.88,0.03
2019,3,8,29.33,24.14,26.73,30.89,4.32,31.46,27.14,18.74,74.25,0.13
2019,3,9,29.01,23.43,26.22,30.8,4.08,31.24,27.15,17.94,72.5,0.97
2019,3,10,28.76,22.78,25.77,30.62,5.24,31.66,26.42,17.27,71.25,0.4
2019,3,11,28.55,22.22,25.38,30.32,4.97,31.21,26.24,16.66,69.75,0.0
2019,3,12,28.55,22.2,25.37,30.35,4.88,31.33,26.46,16.66,69.31,0.0
2019,3,13,28.24,22.58,25.41,30.21,4.35,30.66,26.31,17.03,72.06,0.13
