STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/2/2019,0,",,S",78,"H,,S",,,72,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/3/2019,0,",,S",81,"H,,S",87,",,S",71,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/4/2019,0,",,S",83,"H,,S",88,",,S",69,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/5/2019,0,",,S",84,"H,,S",90,",,S",65,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/6/2019,0,",,S",82,"H,,S",88,",,S",71,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/7/2019,0,",,S",80,"H,,S",89,",,S",68,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/8/2019,0,",,S",82,"H,,S",90,",,S",71,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/9/2019,0,",,S",83,"H,,S",89,",,S",71,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/10/2019,0,",,S",81,"H,,S",88,",,S",72,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/11/2019,0,",,S",85,"H,,S",90,",,S",73,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/12/2019,0,",,S",84,"H,,S",90,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/13/2019,0,",,S",82,"H,,S",87,",,S",72,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/14/2019,0,",,S",80,"H,,S",86,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/15/2019,0,",,S",81,"H,,S",,,72,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/16/2019,0,",,S",82,"H,,S",89,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/17/2019,0,",,S",80,"H,,S",,,72,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/19/2019,0,",,S",82,"H,,S",89,",,S",66,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/20/2019,0,",,S",80,"H,,S",,,69,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/21/2019,0,",,S",82,"H,,S",90,",,S",69,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/22/2019,0,",,S",82,"H,,S",92,",,S",69,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/23/2019,0,",,S",82,"H,,S",92,",,S",69,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/24/2019,0,",,S",83,"H,,S",92,",,S",70,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/26/2019,0,",,S",87,"H,,S",94,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/27/2019,0,",,S",84,"H,,S",94,",,S",70,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/28/2019,0,",,S",82,"H,,S",91,",,S",71,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/29/2019,0,",,S",81,"H,,S",92,",,S",67,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/30/2019,0,",,S",85,"H,,S",,,70,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/31/2019,0,",,S",84,"H,,S",92,",,S",71,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/1/2019,0,",,S",87,"H,,S",94,",,S",71,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/2/2019,0,",,S",87,"H,,S",93,",,S",72,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/3/2019,0,",,S",83,"H,,S",,,72,",,S"
